DATE,Island,Total_TP,PS,T2M,WS50M
2015-05-09,NI,7491446.885,98.9042857142857,13.05,9.107142857142858
2015-05-10,NI,6975918.84,99.1657142857143,14.301428571428572,8.372857142857143
2015-05-11,NI,6447035.045,98.89,14.232857142857142,9.608571428571429
2015-05-12,NI,7254593.49,98.04714285714284,13.387142857142859,11.047142857142857
2015-05-13,NI,8866799.1,98.97285714285715,12.90857142857143,11.248571428571427
2015-05-14,NI,6103302.9328,98.71571428571428,13.67,9.727142857142857
2015-05-15,NI,3202587.7638,97.83,12.084285714285715,6.819999999999999
2015-05-16,NI,2821957.7618,99.10000000000001,10.325714285714286,9.91
2015-05-17,NI,996265.9065,100.32285714285715,9.978571428571428,4.731428571428572
2015-05-18,NI,6396437.720000001,99.93999999999998,11.295714285714284,7.525714285714286
