DATE,POC_Code,WS50M,Island,Fuel_Code,Latitude,Longitude
2015-03-09,BPE0331,5.37,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-10,BPE0331,4.06,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-11,BPE0331,4.18,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-12,BPE0331,4.32,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-13,BPE0331,4.26,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-14,BPE0331,4.23,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-15,BPE0331,6.61,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-16,BPE0331,8.1,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-17,BPE0331,10.65,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-18,BPE0331,7.96,NI,Wind,-40.280614262851415,175.6405101202204
