DATE,POC_Code,T2M,Island,Fuel_Code,Latitude,Longitude
2018-10-07,WDV1101,11.48,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-08,WDV1101,10.46,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-09,WDV1101,10.4,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-10,WDV1101,10.76,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-11,WDV1101,12.65,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-12,WDV1101,9.1,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-13,WDV1101,6.3,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-14,WDV1101,7.6,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-15,WDV1101,8.61,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-16,WDV1101,10.42,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-17,WDV1101,11.75,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-18,WDV1101,11.39,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-19,WDV1101,10.83,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-20,WDV1101,12.36,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-21,WDV1101,12.79,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-22,WDV1101,14.64,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-23,WDV1101,13.26,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-24,WDV1101,13.09,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-25,WDV1101,13.32,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-26,WDV1101,11.7,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-27,WDV1101,11.84,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-28,WDV1101,12.72,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-29,WDV1101,12.44,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-30,WDV1101,10.75,NI,Wind,-40.31545683722073,175.85606683277967
2018-10-31,WDV1101,10.53,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-01,WDV1101,9.05,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-02,WDV1101,9.99,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-03,WDV1101,12.03,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-04,WDV1101,11.97,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-05,WDV1101,12.2,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-06,WDV1101,13.25,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-07,WDV1101,14.48,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-08,WDV1101,16.51,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-09,WDV1101,15.54,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-10,WDV1101,11.27,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-11,WDV1101,12.1,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-12,WDV1101,14.07,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-13,WDV1101,14.82,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-14,WDV1101,15.78,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-15,WDV1101,15.6,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-16,WDV1101,14.48,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-17,WDV1101,13.99,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-18,WDV1101,13.42,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-19,WDV1101,11.08,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-20,WDV1101,10.07,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-21,WDV1101,10.91,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-22,WDV1101,12.06,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-23,WDV1101,14.6,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-24,WDV1101,15.24,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-25,WDV1101,15.05,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-26,WDV1101,14.07,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-27,WDV1101,14.01,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-28,WDV1101,15.31,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-29,WDV1101,14.09,NI,Wind,-40.31545683722073,175.85606683277967
2018-11-30,WDV1101,15.82,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-01,WDV1101,15.72,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-02,WDV1101,17.68,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-03,WDV1101,18.32,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-04,WDV1101,16.63,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-05,WDV1101,13.83,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-06,WDV1101,11.46,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-07,WDV1101,12.62,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-08,WDV1101,15.09,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-09,WDV1101,16.45,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-10,WDV1101,15.92,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-11,WDV1101,16.19,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-12,WDV1101,16.75,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-13,WDV1101,17.13,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-14,WDV1101,16.54,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-15,WDV1101,17.44,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-16,WDV1101,17.47,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-17,WDV1101,17.47,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-18,WDV1101,17.22,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-19,WDV1101,16.99,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-20,WDV1101,16.21,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-21,WDV1101,15.47,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-22,WDV1101,15.93,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-23,WDV1101,15.76,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-24,WDV1101,15.75,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-25,WDV1101,17.57,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-26,WDV1101,16.84,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-27,WDV1101,16.26,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-28,WDV1101,16.95,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-29,WDV1101,15.83,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-30,WDV1101,16.75,NI,Wind,-40.31545683722073,175.85606683277967
2018-12-31,WDV1101,17.92,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-01,WDV1101,19.68,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-02,WDV1101,18.6,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-03,WDV1101,18.63,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-04,WDV1101,18.57,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-05,WDV1101,17.57,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-06,WDV1101,18.31,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-07,WDV1101,17.76,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-08,WDV1101,17.6,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-09,WDV1101,19.21,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-10,WDV1101,19.29,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-11,WDV1101,19.26,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-12,WDV1101,17.69,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-13,WDV1101,19.22,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-14,WDV1101,15.84,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-15,WDV1101,16.24,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-16,WDV1101,16.36,NI,Wind,-40.31545683722073,175.85606683277967
