DATE,POC_Code,PS,Island,Fuel_Code,Latitude,Longitude
2015-03-09,BPE0331,99.02,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-10,BPE0331,99.28,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-11,BPE0331,99.43,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-12,BPE0331,99.28,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-13,BPE0331,99.08,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-14,BPE0331,99.24,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-15,BPE0331,98.52,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-16,BPE0331,97.34,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-17,BPE0331,97.44,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-18,BPE0331,98.41,NI,Wind,-40.280614262851415,175.6405101202204
