Island,Total_TP,PS,T2M,WD50M,WS50M
NI,723518.1268142856,100.70857142857143,16.345714285714283,305.57142857142856,6.442857142857143
NI,1160413.2022857142,100.06857142857143,16.548571428571428,303.2285714285714,10.105714285714285
NI,311775.5230142857,100.44142857142857,15.629999999999999,140.4,4.427142857142857
NI,345234.23845714284,100.58571428571429,17.00857142857143,290.0,6.892857142857143
NI,943791.8432857143,100.36,17.77857142857143,332.3857142857143,9.73857142857143
NI,669107.4738571428,100.03142857142858,17.694285714285716,329.90000000000003,8.257142857142858
NI,743271.5285285714,100.02,15.651428571428571,158.44285714285712,6.38
NI,585974.7327571429,98.95,16.580000000000002,314.6142857142857,7.6571428571428575
NI,512500.284,99.13,13.562857142857142,186.25714285714284,5.798571428571429
NI,1272756.0471428572,98.67142857142858,14.462857142857144,304.0142857142857,12.272857142857143
NI,944946.0919285715,97.33285714285715,12.065714285714288,288.4857142857143,10.90857142857143
NI,349877.7708857143,98.48857142857143,8.161428571428571,212.6142857142857,7.724285714285714
NI,519319.87475714285,99.53857142857143,9.69,223.57142857142858,8.575714285714286
NI,360727.68194285716,100.31714285714285,10.354285714285714,216.70000000000002,5.834285714285714
NI,1121130.5685714285,100.14714285714285,12.65,313.9142857142857,8.647142857142857
NI,597440.3702,100.35428571428572,12.457142857142857,130.6142857142857,5.677142857142857
NI,379949.3290428571,100.80428571428571,12.894285714285715,300.2,5.268571428571429
NI,649443.8890285714,100.9342857142857,14.552857142857144,279.87142857142857,6.498571428571428
NI,178248.20175714284,101.06714285714285,14.60142857142857,268.7,4.288571428571428
NI,445147.9702714286,101.18142857142857,13.968571428571428,157.9857142857143,4.925714285714286
NI,590670.5435714286,101.37,13.4,90.11428571428571,5.831428571428572
NI,434120.6587857143,101.17714285714285,13.178571428571429,46.699999999999996,5.291428571428571
NI,545830.0190142858,100.72285714285715,13.12857142857143,298.61428571428576,6.948571428571428
NI,983905.4114285714,99.96428571428571,13.855714285714285,298.0142857142857,9.45142857142857
NI,913967.4436428571,98.43285714285715,15.877142857142857,298.45714285714286,13.337142857142856
NI,905254.8471428572,98.25857142857144,12.515714285714285,263.3285714285715,9.162857142857144
NI,1073426.2367142856,98.53571428571429,12.282857142857143,282.09999999999997,11.178571428571429
NI,541027.057,99.51714285714286,10.15,219.04285714285714,9.037142857142857
NI,597980.3299714286,100.75,11.522857142857143,295.62857142857143,5.88
NI,624556.0381428571,101.12,12.735714285714286,310.95714285714286,5.910000000000001
NI,318610.0664428571,101.31714285714285,12.095714285714285,314.9857142857143,4.3342857142857145
NI,809911.4884857143,101.27571428571427,11.314285714285715,284.9857142857143,6.091428571428572
NI,1098473.7165714286,100.90428571428572,13.582857142857142,279.18571428571425,7.885714285714285
NI,1094921.5435714286,100.21285714285715,15.168571428571429,334.09999999999997,11.547142857142857
NI,1149881.4371428571,99.32714285714285,16.225714285714286,329.3,11.881428571428572
NI,1006701.4784857143,98.78571428571429,14.66,311.5142857142857,8.588571428571429
NI,1070206.697857143,98.9042857142857,13.05,289.8857142857143,9.107142857142858
NI,996559.8342857143,99.1657142857143,14.301428571428572,296.1857142857143,8.372857142857143
NI,921005.0064285714,98.89,14.232857142857142,325.90000000000003,9.608571428571429
NI,1036370.4985714286,98.04714285714284,13.387142857142859,315.19999999999993,11.047142857142857
NI,1266685.5857142857,98.97285714285715,12.90857142857143,302.1857142857143,11.248571428571427
NI,871900.4189714285,98.71571428571428,13.67,342.54285714285714,9.727142857142857
NI,457512.53768571425,97.83,12.084285714285715,257.3285714285714,6.819999999999999
NI,403136.8231142857,99.10000000000001,10.325714285714286,205.3857142857143,9.91
NI,142323.70092857143,100.32285714285715,9.978571428571428,191.25714285714284,4.731428571428572
NI,913776.8171428572,99.93999999999998,11.295714285714284,287.3285714285714,7.525714285714286
NI,344583.8651714286,100.22000000000001,10.017142857142858,176.9857142857143,4.941428571428571
NI,497773.11264285713,100.2957142857143,9.472857142857142,308.0285714285714,4.468571428571429
NI,1370077.4357142858,99.46428571428571,12.758571428571429,307.09999999999997,10.912857142857144
NI,521086.7492714286,99.63142857142857,9.611428571428572,236.3714285714286,5.894285714285714
NI,645050.8490571429,98.59142857142857,9.277142857142858,91.92857142857143,6.258571428571429
NI,706343.4651428572,98.02428571428572,9.944285714285714,238.65714285714287,8.65857142857143
NI,398476.3760857143,98.75714285714287,6.728571428571429,233.54285714285714,9.052857142857144
NI,314559.13312857144,99.22857142857143,7.105714285714286,244.48571428571427,7.075714285714286
NI,302419.25911428564,99.84857142857143,7.344285714285713,201.64285714285714,7.202857142857143
NI,23991.982771428568,100.84,7.890000000000001,216.27142857142857,2.6514285714285712
NI,373970.0081714286,101.05571428571429,7.90142857142857,287.4714285714286,5.617142857142857
NI,752400.5527571429,100.59714285714286,9.108571428571429,291.9428571428572,7.912857142857143
NI,546941.3532714286,100.30142857142857,10.774285714285714,300.0142857142857,6.071428571428571
NI,358166.8197571429,99.73142857142857,10.995714285714286,29.842857142857145,6.628571428571428
NI,548627.0564428571,98.54142857142857,13.237142857142857,29.657142857142862,8.742857142857144
