DATE,POC_Code,RH2M
2015-09-20,ARA2201,95.48
2015-09-21,ARA2201,89.63
2015-09-22,ARA2201,88.16
2015-09-23,ARA2201,93.41
2015-09-24,ARA2201,91.69
2015-09-25,ARA2201,79.05
2015-09-26,ARA2201,81.01
2015-09-27,ARA2201,76.51
2015-09-28,ARA2201,82.32
2015-09-29,ARA2201,76.5
2015-09-30,ARA2201,80.21
2015-10-01,ARA2201,82.32
2015-10-02,ARA2201,90.84
2015-10-03,ARA2201,82.15
2015-10-04,ARA2201,83.53
2015-10-05,ARA2201,72.37
2015-10-06,ARA2201,78.28
2015-10-07,ARA2201,76.29
2015-10-08,ARA2201,77.38
2015-10-09,ARA2201,71.02
2015-10-10,ARA2201,80.96
2015-10-11,ARA2201,78.32
2015-10-12,ARA2201,78.5
2015-10-13,ARA2201,88.3
2015-10-14,ARA2201,82.75
2015-10-15,ARA2201,78.51
2015-10-16,ARA2201,77.42
2015-10-17,ARA2201,77.22
2015-10-18,ARA2201,86.61
2015-10-19,ARA2201,69.16
2015-10-20,ARA2201,75.34
2015-10-21,ARA2201,80.87
2015-10-22,ARA2201,87.21
2015-10-23,ARA2201,80.49
2015-10-24,ARA2201,93.08
2015-10-25,ARA2201,78.9
2015-10-26,ARA2201,77.36
2015-10-27,ARA2201,77.33
2015-10-28,ARA2201,75.02
2015-10-29,ARA2201,82.24
2015-10-30,ARA2201,72.96
2015-10-31,ARA2201,68.4
2015-11-01,ARA2201,72.07
2015-11-02,ARA2201,74.2
2015-11-03,ARA2201,74.72
2015-11-04,ARA2201,87.9
2015-11-05,ARA2201,72.27
2015-11-06,ARA2201,63.38
2015-11-07,ARA2201,72.04
2015-11-08,ARA2201,67.52
2015-11-09,ARA2201,69.54
2015-11-10,ARA2201,75.76
2015-11-11,ARA2201,73.24
2015-11-12,ARA2201,72.1
2015-11-13,ARA2201,60.75
2015-11-14,ARA2201,65.48
2015-11-15,ARA2201,90.01
2015-11-16,ARA2201,95.69
2015-11-17,ARA2201,75.55
2015-11-18,ARA2201,78.12
2015-11-19,ARA2201,65.49
2015-11-20,ARA2201,87.74
2015-11-21,ARA2201,84.58
2015-11-22,ARA2201,77.26
2015-11-23,ARA2201,63.07
2015-11-24,ARA2201,67.13
2015-11-25,ARA2201,66.69
2015-11-26,ARA2201,71.23
2015-11-27,ARA2201,80.02
2015-11-28,ARA2201,87.29
2015-11-29,ARA2201,64.76
2015-11-30,ARA2201,74.45
2015-12-01,ARA2201,84.36
2015-12-02,ARA2201,77.67
2015-12-03,ARA2201,67.67
2015-12-04,ARA2201,78.04
2015-12-05,ARA2201,68.81
2015-12-06,ARA2201,73.38
2015-12-07,ARA2201,73.11
2015-12-08,ARA2201,58.11
2015-12-09,ARA2201,60.8
2015-12-10,ARA2201,71.19
2015-12-11,ARA2201,71.61
2015-12-12,ARA2201,78.26
2015-12-13,ARA2201,72.24
2015-12-14,ARA2201,58.09
2015-12-15,ARA2201,67.1
2015-12-16,ARA2201,72.89
2015-12-17,ARA2201,68.47
2015-12-18,ARA2201,63.83
2015-12-19,ARA2201,60.07
2015-12-20,ARA2201,61.17
2015-12-21,ARA2201,67.44
2015-12-22,ARA2201,66.78
2015-12-23,ARA2201,70.42
2015-12-24,ARA2201,72.23
2015-12-25,ARA2201,73.0
2015-12-26,ARA2201,55.85
2015-12-27,ARA2201,49.75
2015-12-28,ARA2201,44.71
2015-12-29,ARA2201,44.41
2015-12-30,ARA2201,39.85
2015-12-31,ARA2201,60.68
2016-01-01,ARA2201,69.37
2016-01-02,ARA2201,93.29
2016-01-03,ARA2201,89.14
2016-01-04,ARA2201,69.86
2016-01-05,ARA2201,53.23
2016-01-06,ARA2201,54.76
2016-01-07,ARA2201,65.84
2016-01-08,ARA2201,89.92
2016-01-09,ARA2201,65.45
2016-01-10,ARA2201,69.13
2016-01-11,ARA2201,67.57
2016-01-12,ARA2201,81.36
2016-01-13,ARA2201,61.73
2016-01-14,ARA2201,64.78
2016-01-15,ARA2201,66.73
2016-01-16,ARA2201,63.41
2016-01-17,ARA2201,66.78
2016-01-18,ARA2201,84.47
2016-01-19,ARA2201,74.95
2016-01-20,ARA2201,63.59
2016-01-21,ARA2201,54.76
2016-01-22,ARA2201,50.13
2016-01-23,ARA2201,52.28
2016-01-24,ARA2201,65.83
2016-01-25,ARA2201,70.77
2016-01-26,ARA2201,69.23
2016-01-27,ARA2201,82.99
2016-01-28,ARA2201,78.95
2016-01-29,ARA2201,78.15
2016-01-30,ARA2201,67.63
2016-01-31,ARA2201,78.49
2016-02-01,ARA2201,73.81
2016-02-02,ARA2201,61.92
2016-02-03,ARA2201,59.18
2016-02-04,ARA2201,67.16
2016-02-05,ARA2201,79.95
2016-02-06,ARA2201,86.51
2016-02-07,ARA2201,65.29
2016-02-08,ARA2201,66.86
2016-02-09,ARA2201,73.43
2016-02-10,ARA2201,63.13
2016-02-11,ARA2201,67.51
2016-02-12,ARA2201,63.96
2016-02-13,ARA2201,66.51
2016-02-14,ARA2201,64.96
2016-02-15,ARA2201,69.71
2016-02-16,ARA2201,74.86
2016-02-17,ARA2201,85.2
2016-02-18,ARA2201,90.82
2016-02-19,ARA2201,79.51
2016-02-20,ARA2201,68.1
2016-02-21,ARA2201,62.43
2016-02-22,ARA2201,62.34
2016-02-23,ARA2201,71.67
2016-02-24,ARA2201,67.33
2016-02-25,ARA2201,66.83
2016-02-26,ARA2201,64.24
2016-02-27,ARA2201,72.27
2016-02-28,ARA2201,82.76
2016-02-29,ARA2201,89.89
2016-03-01,ARA2201,87.86
2016-03-02,ARA2201,75.09
2016-03-03,ARA2201,64.38
2016-03-04,ARA2201,65.57
2016-03-05,ARA2201,66.37
2016-03-06,ARA2201,69.32
2016-03-07,ARA2201,69.5
2016-03-08,ARA2201,70.86
2016-03-09,ARA2201,63.0
2016-03-10,ARA2201,70.66
2016-03-11,ARA2201,63.81
2016-03-12,ARA2201,53.48
2016-03-13,ARA2201,62.59
2016-03-14,ARA2201,72.75
2016-03-15,ARA2201,86.49
2016-03-16,ARA2201,82.41
2016-03-17,ARA2201,89.28
2016-03-18,ARA2201,85.87
2016-03-19,ARA2201,77.31
2016-03-20,ARA2201,82.3
2016-03-21,ARA2201,79.69
2016-03-22,ARA2201,78.43
2016-03-23,ARA2201,83.17
2016-03-24,ARA2201,96.93
2016-03-25,ARA2201,80.65
2016-03-26,ARA2201,75.71
2016-03-27,ARA2201,76.24
2016-03-28,ARA2201,74.59
2016-03-29,ARA2201,63.95
2016-03-30,ARA2201,63.14
2016-03-31,ARA2201,70.43
2016-04-01,ARA2201,76.38
2016-04-02,ARA2201,91.88
2016-04-03,ARA2201,84.06
2016-04-04,ARA2201,79.96
2016-04-05,ARA2201,77.06
2016-04-06,ARA2201,68.0
2016-04-07,ARA2201,77.58
2016-04-08,ARA2201,83.88
2016-04-09,ARA2201,92.62
2016-04-10,ARA2201,96.15
2016-04-11,ARA2201,85.56
2016-04-12,ARA2201,86.57
2016-04-13,ARA2201,82.78
2016-04-14,ARA2201,61.73
2016-04-15,ARA2201,57.27
2016-04-16,ARA2201,79.81
2016-04-17,ARA2201,95.83
2016-04-18,ARA2201,86.44
2016-04-19,ARA2201,73.26
2016-04-20,ARA2201,78.15
2016-04-21,ARA2201,79.34
2016-04-22,ARA2201,79.82
2016-04-23,ARA2201,80.68
2016-04-24,ARA2201,89.92
2016-04-25,ARA2201,76.36
2016-04-26,ARA2201,71.79
2016-04-27,ARA2201,85.07
2016-04-28,ARA2201,80.8
2016-04-29,ARA2201,81.94
2016-04-30,ARA2201,79.48
2016-05-01,ARA2201,84.5
2016-05-02,ARA2201,85.17
2016-05-03,ARA2201,82.44
2016-05-04,ARA2201,84.36
2016-05-05,ARA2201,96.31
2016-05-06,ARA2201,91.89
2016-05-07,ARA2201,76.57
2016-05-08,ARA2201,66.28
2016-05-09,ARA2201,77.94
2016-05-10,ARA2201,80.82
2016-05-11,ARA2201,92.78
2016-05-12,ARA2201,81.03
2016-05-13,ARA2201,87.66
2016-05-14,ARA2201,77.85
2016-05-15,ARA2201,83.11
2016-05-16,ARA2201,89.56
2016-05-17,ARA2201,68.76
2016-05-18,ARA2201,86.44
2016-05-19,ARA2201,77.65
2016-05-20,ARA2201,87.62
2016-05-21,ARA2201,94.38
2016-05-22,ARA2201,90.14
2016-05-23,ARA2201,93.67
2016-05-24,ARA2201,93.35
2016-05-25,ARA2201,96.08
2016-05-26,ARA2201,90.98
2016-05-27,ARA2201,92.54
2016-05-28,ARA2201,91.01
2016-05-29,ARA2201,94.73
2016-05-30,ARA2201,88.99
2016-05-31,ARA2201,91.0
2016-06-01,ARA2201,85.49
2016-06-02,ARA2201,86.38
2016-06-03,ARA2201,76.02
2016-06-04,ARA2201,80.29
2016-06-05,ARA2201,79.34
2016-06-06,ARA2201,85.45
2016-06-07,ARA2201,84.52
2016-06-08,ARA2201,96.77
2016-06-09,ARA2201,93.05
2016-06-10,ARA2201,96.84
2016-06-11,ARA2201,87.8
2016-06-12,ARA2201,90.62
2016-06-13,ARA2201,70.35
2016-06-14,ARA2201,95.98
2016-06-15,ARA2201,88.79
2016-06-16,ARA2201,82.82
2016-06-17,ARA2201,89.01
2016-06-18,ARA2201,87.69
2016-06-19,ARA2201,87.36
2016-06-20,ARA2201,90.9
2016-06-21,ARA2201,96.17
2016-06-22,ARA2201,98.59
2016-06-23,ARA2201,97.07
2016-06-24,ARA2201,89.68
2016-06-25,ARA2201,96.99
2016-06-26,ARA2201,95.26
2016-06-27,ARA2201,95.16
2016-06-28,ARA2201,92.77
2016-06-29,ARA2201,97.06
2016-06-30,ARA2201,96.86
2016-07-01,ARA2201,82.24
2016-07-02,ARA2201,82.67
2016-07-03,ARA2201,92.86
2016-07-04,ARA2201,81.65
2016-07-05,ARA2201,89.92
2016-07-06,ARA2201,89.53
2016-07-07,ARA2201,92.0
2016-07-08,ARA2201,94.22
2016-07-09,ARA2201,86.41
2016-07-10,ARA2201,86.05
2016-07-11,ARA2201,82.63
2016-07-12,ARA2201,85.91
2016-07-13,ARA2201,90.48
2016-07-14,ARA2201,90.36
2016-07-15,ARA2201,89.41
2016-07-16,ARA2201,85.68
2016-07-17,ARA2201,85.08
2016-07-18,ARA2201,73.27
2016-07-19,ARA2201,96.67
2016-07-20,ARA2201,84.88
2016-07-21,ARA2201,80.62
2016-07-22,ARA2201,96.57
2016-07-23,ARA2201,97.5
2016-07-24,ARA2201,88.02
2016-07-25,ARA2201,83.16
2016-07-26,ARA2201,97.15
2016-07-27,ARA2201,90.5
2016-07-28,ARA2201,97.38
2016-07-29,ARA2201,85.31
2016-07-30,ARA2201,89.85
2016-07-31,ARA2201,83.55
2016-08-01,ARA2201,91.34
2016-08-02,ARA2201,87.46
2016-08-03,ARA2201,97.12
2016-08-04,ARA2201,94.94
2016-08-05,ARA2201,96.02
2016-08-06,ARA2201,95.14
2016-08-07,ARA2201,82.6
2016-08-08,ARA2201,81.94
2016-08-09,ARA2201,91.55
2016-08-10,ARA2201,91.84
2016-08-11,ARA2201,90.64
2016-08-12,ARA2201,86.98
2016-08-13,ARA2201,97.23
2016-08-14,ARA2201,87.13
2016-08-15,ARA2201,78.91
2016-08-16,ARA2201,79.5
2016-08-17,ARA2201,76.39
2016-08-18,ARA2201,79.87
2016-08-19,ARA2201,87.66
