Fuel_Code,POC_Code,Trading_date,Total_TP
Hydro,AVI2201,2009-11-14,1870500.0
Hydro,AVI2201,2009-11-15,1957980.0
Hydro,AVI2201,2009-11-16,2923280.0
Hydro,AVI2201,2009-11-17,2357440.0
Hydro,AVI2201,2009-11-18,2164850.0
Hydro,AVI2201,2009-11-19,2125530.0
Hydro,AVI2201,2009-11-20,1845840.0
Hydro,AVI2201,2009-11-21,2159880.0
Hydro,AVI2201,2009-11-22,2224640.0
Hydro,AVI2201,2009-11-23,2501390.0
Hydro,AVI2201,2009-11-24,2663300.0
Hydro,AVI2201,2009-11-25,2094560.0
Hydro,AVI2201,2009-11-26,2974600.0
Hydro,AVI2201,2009-11-27,2417230.0
Hydro,AVI2201,2009-11-28,1948150.0
Hydro,AVI2201,2009-11-29,2405460.0
Hydro,AVI2201,2009-11-30,2922230.0
Hydro,BEN0162,2009-11-01,1349444.0
Hydro,BEN0162,2009-11-02,1847005.0
Hydro,BEN0162,2009-11-03,2309050.0
Hydro,BEN0162,2009-11-04,1551064.0
Hydro,BEN0162,2009-11-05,2137055.0
Hydro,BEN0162,2009-11-06,1733312.0
Hydro,BEN0162,2009-11-07,1252858.0
Hydro,BEN0162,2009-11-08,2220278.0
Hydro,BEN0162,2009-11-09,1638277.0
Hydro,BEN0162,2009-11-10,2642781.0
Hydro,BEN0162,2009-11-11,1352679.0
Hydro,BEN0162,2009-11-12,1494244.0
Hydro,BEN0162,2009-11-13,1685344.0
Hydro,BEN0162,2009-11-14,939516.0
Hydro,BEN0162,2009-11-15,454681.0
Hydro,BEN0162,2009-11-16,2329936.0
Hydro,BEN0162,2009-11-17,2325293.0
Hydro,BEN0162,2009-11-18,2322612.0
Hydro,BEN0162,2009-11-19,2330903.0
Hydro,BEN0162,2009-11-20,1397783.0
Hydro,BEN0162,2009-11-21,2999664.0
Hydro,BEN0162,2009-11-22,3224645.0
Hydro,BEN0162,2009-11-23,2487163.0
Hydro,BEN0162,2009-11-24,2334603.0
Hydro,BEN0162,2009-11-25,1668633.0
Hydro,BEN0162,2009-11-26,2728781.0
Hydro,BEN0162,2009-11-27,1464634.0
Hydro,BEN0162,2009-11-28,2253012.0
Hydro,BEN0162,2009-11-29,2984837.0
Hydro,BEN0162,2009-11-30,2468109.0
Hydro,BEN0163,2009-11-01,1677451.0
Hydro,BEN0163,2009-11-02,2027953.0
Hydro,BEN0163,2009-11-03,2436549.0
Hydro,BEN0163,2009-11-04,3356326.0
Hydro,BEN0163,2009-11-05,3188786.0
Hydro,BEN0163,2009-11-06,3274090.0
Hydro,BEN0163,2009-11-07,3521014.0
Hydro,BEN0163,2009-11-08,3191787.0
Hydro,BEN0163,2009-11-09,3198248.0
Hydro,BEN0163,2009-11-10,3433032.0
Hydro,BEN0163,2009-11-11,3266261.0
Hydro,BEN0163,2009-11-12,3168675.0
Hydro,BEN0163,2009-11-13,2555906.0
Hydro,BEN0163,2009-11-14,3032854.0
Hydro,BEN0163,2009-11-15,3491510.0
Hydro,BEN0163,2009-11-16,3390148.0
Hydro,BEN0163,2009-11-17,2434860.0
Hydro,BEN0163,2009-11-18,1792468.0
Hydro,BEN0163,2009-11-19,1685738.0
Hydro,BEN0163,2009-11-20,1307913.0
Hydro,BEN0163,2009-11-21,103.0
Hydro,BEN0163,2009-11-22,342.0
Hydro,BEN0163,2009-11-23,1275567.0
Hydro,BEN0163,2009-11-24,2551025.0
Hydro,BEN0163,2009-11-25,3179053.0
Hydro,BEN0163,2009-11-26,3655684.0
Hydro,BEN0163,2009-11-27,3160793.0
Hydro,BEN0163,2009-11-28,3768948.0
Hydro,BEN0163,2009-11-29,2871196.0
Hydro,BEN0163,2009-11-30,3714846.0
Hydro,BEN2202,2009-11-01,1364154.0
Hydro,BEN2202,2009-11-02,393362.0
Hydro,BEN2202,2009-11-03,619020.0
Hydro,BEN2202,2009-11-04,85169.0
Hydro,BEN2202,2009-11-05,244946.0
Hydro,BEN2202,2009-11-06,326772.0
Hydro,BEN2202,2009-11-07,435277.0
Hydro,BEN2202,2009-11-08,1263286.0
Hydro,BEN2202,2009-11-09,887330.0
Hydro,BEN2202,2009-11-10,747.0
Hydro,BEN2202,2009-11-11,327420.0
Hydro,BEN2202,2009-11-12,0.0
Hydro,BEN2202,2009-11-13,0.0
Hydro,BEN2202,2009-11-14,31.0
Hydro,BEN2202,2009-11-15,908641.0
Hydro,BEN2202,2009-11-16,1022269.0
Hydro,BEN2202,2009-11-17,486973.0
Hydro,BEN2202,2009-11-18,1327498.0
Hydro,BEN2202,2009-11-19,1577506.0
Hydro,BEN2202,2009-11-20,1388230.0
Hydro,BEN2202,2009-11-21,1874548.0
Hydro,BEN2202,2009-11-22,1855339.0
Hydro,BEN2202,2009-11-23,1764139.0
Hydro,BEN2202,2009-11-24,1708674.0
Hydro,BEN2202,2009-11-25,515987.0
Hydro,BEN2202,2009-11-26,1145229.0
Hydro,BEN2202,2009-11-27,0.0
Hydro,BEN2202,2009-11-28,0.0
Hydro,BEN2202,2009-11-29,59850.0
Hydro,BEN2202,2009-11-30,1018314.0
Hydro,BWK1101,2009-11-01,89731.0
Hydro,BWK1101,2009-11-02,129889.0
Hydro,BWK1101,2009-11-03,42008.0
Hydro,BWK1101,2009-11-04,133226.0
Hydro,BWK1101,2009-11-05,100104.0
Hydro,BWK1101,2009-11-06,289847.0
Hydro,BWK1101,2009-11-07,70920.0
Hydro,BWK1101,2009-11-08,243371.0
Hydro,BWK1101,2009-11-09,542963.0
Hydro,BWK1101,2009-11-10,262000.0
Hydro,BWK1101,2009-11-11,603287.0
Hydro,BWK1101,2009-11-12,663439.0
Hydro,BWK1101,2009-11-13,637350.0
Hydro,BWK1101,2009-11-14,518269.0
Hydro,BWK1101,2009-11-15,406237.0
Hydro,BWK1101,2009-11-16,213437.0
Hydro,BWK1101,2009-11-17,158260.0
Hydro,BWK1101,2009-11-18,160665.0
Hydro,BWK1101,2009-11-19,35281.0
Hydro,BWK1101,2009-11-20,31175.0
Hydro,BWK1101,2009-11-21,0.0
Hydro,BWK1101,2009-11-22,6.0
Hydro,BWK1101,2009-11-23,30479.0
Hydro,BWK1101,2009-11-24,28227.0
Hydro,BWK1101,2009-11-25,2455.0
Hydro,BWK1101,2009-11-26,1513.0
Hydro,BWK1101,2009-11-27,32158.0
Hydro,BWK1101,2009-11-28,5252.0
Hydro,BWK1101,2009-11-29,518.0
Hydro,BWK1101,2009-11-30,262970.0
Hydro,COB0661,2009-11-01,734283.0
Hydro,COB0661,2009-11-02,647514.0
Hydro,COB0661,2009-11-03,750458.0
Hydro,COB0661,2009-11-04,752056.0
Hydro,COB0661,2009-11-05,682936.0
Hydro,COB0661,2009-11-06,681203.0
Hydro,COB0661,2009-11-07,537949.0
Hydro,COB0661,2009-11-08,748655.0
Hydro,COB0661,2009-11-09,567608.0
Hydro,COB0661,2009-11-10,743159.0
Hydro,COB0661,2009-11-11,736437.0
Hydro,COB0661,2009-11-12,747279.0
Hydro,COB0661,2009-11-13,714664.0
Hydro,COB0661,2009-11-14,752286.0
Hydro,COB0661,2009-11-15,591467.0
Hydro,COB0661,2009-11-16,461547.0
Hydro,COB0661,2009-11-17,598722.0
Hydro,COB0661,2009-11-18,456119.0
Hydro,COB0661,2009-11-19,287814.0
Hydro,COB0661,2009-11-20,236558.0
Hydro,COB0661,2009-11-21,43909.0
Hydro,COB0661,2009-11-22,92418.0
Hydro,COB0661,2009-11-23,284737.0
Hydro,COB0661,2009-11-24,186108.0
Hydro,COB0661,2009-11-25,325123.0
Hydro,COB0661,2009-11-26,174639.0
Hydro,COB0661,2009-11-27,156985.0
Hydro,COB0661,2009-11-28,167189.0
Hydro,COB0661,2009-11-29,66863.0
Hydro,COB0661,2009-11-30,406058.0
Hydro,COL0661,2009-11-01,826920.0
Hydro,COL0661,2009-11-02,650300.0
Hydro,COL0661,2009-11-03,838700.0
Hydro,COL0661,2009-11-04,854000.0
Hydro,COL0661,2009-11-05,913290.0
Hydro,COL0661,2009-11-06,882590.0
Hydro,COL0661,2009-11-07,848170.0
Hydro,COL0661,2009-11-08,918320.0
Hydro,COL0661,2009-11-09,891740.0
Hydro,COL0661,2009-11-10,841380.0
Hydro,COL0661,2009-11-11,874660.0
Hydro,COL0661,2009-11-12,925180.0
Hydro,COL0661,2009-11-13,911570.0
Hydro,COL0661,2009-11-14,896640.0
Hydro,COL0661,2009-11-15,779890.0
Hydro,COL0661,2009-11-16,684410.0
Hydro,COL0661,2009-11-17,800050.0
Hydro,COL0661,2009-11-18,568670.0
Hydro,COL0661,2009-11-19,568000.0
Hydro,COL0661,2009-11-20,587020.0
Hydro,COL0661,2009-11-21,411860.0
Hydro,COL0661,2009-11-22,346230.0
Hydro,COL0661,2009-11-23,494940.0
Hydro,COL0661,2009-11-24,531510.0
Hydro,COL0661,2009-11-25,638290.0
Hydro,COL0661,2009-11-26,624060.0
Hydro,COL0661,2009-11-27,711970.0
Hydro,COL0661,2009-11-28,792180.0
Hydro,COL0661,2009-11-29,757540.0
Hydro,COL0661,2009-11-30,802000.0
Hydro,CYD2201,2009-11-01,4157210.0
Hydro,CYD2201,2009-11-02,5504290.0
Hydro,CYD2201,2009-11-03,5185620.0
Hydro,CYD2201,2009-11-04,5183780.0
Hydro,CYD2201,2009-11-05,4867030.0
Hydro,CYD2201,2009-11-06,5434380.0
Hydro,CYD2201,2009-11-07,4251800.0
Hydro,CYD2201,2009-11-08,4223270.0
Hydro,CYD2201,2009-11-09,5028210.0
Hydro,CYD2201,2009-11-10,4769480.0
Hydro,CYD2201,2009-11-11,6292730.0
Hydro,CYD2201,2009-11-12,6398490.0
Hydro,CYD2201,2009-11-13,6338000.0
Hydro,CYD2201,2009-11-14,5723120.0
Hydro,CYD2201,2009-11-15,5390260.0
Hydro,CYD2201,2009-11-16,6239900.0
Hydro,CYD2201,2009-11-17,4462700.0
Hydro,CYD2201,2009-11-18,3889200.0
Hydro,CYD2201,2009-11-19,3961310.0
Hydro,CYD2201,2009-11-20,4007980.0
Hydro,CYD2201,2009-11-21,4804490.0
Hydro,CYD2201,2009-11-22,4951160.0
Hydro,CYD2201,2009-11-23,5108550.0
Hydro,CYD2201,2009-11-24,6011100.0
Hydro,CYD2201,2009-11-25,5697090.0
Hydro,CYD2201,2009-11-26,5859060.0
Hydro,CYD2201,2009-11-27,5709740.0
Hydro,CYD2201,2009-11-28,5292310.0
Hydro,CYD2201,2009-11-29,5103710.0
Hydro,CYD2201,2009-11-30,5632780.0
Hydro,HWA1101,2009-11-01,297541.0
Hydro,HWA1101,2009-11-02,111439.0
Hydro,HWA1101,2009-11-03,202055.0
Hydro,HWA1101,2009-11-04,265947.0
Hydro,HWA1101,2009-11-05,178027.0
Hydro,HWA1101,2009-11-06,213970.0
Hydro,HWA1101,2009-11-07,113257.0
Hydro,HWA1101,2009-11-08,141081.0
Hydro,HWA1101,2009-11-09,229485.0
Hydro,HWA1101,2009-11-10,160459.0
Hydro,HWA1101,2009-11-11,351924.0
Hydro,HWA1101,2009-11-12,359146.0
Hydro,HWA1101,2009-11-13,230510.0
Hydro,HWA1101,2009-11-14,77310.0
Hydro,HWA1101,2009-11-15,27689.0
Hydro,HWA1101,2009-11-16,24462.0
Hydro,HWA1101,2009-11-17,180351.0
Hydro,HWA1101,2009-11-18,372674.0
Hydro,HWA1101,2009-11-19,266037.0
Hydro,HWA1101,2009-11-20,127675.0
Hydro,HWA1101,2009-11-21,38771.0
Hydro,HWA1101,2009-11-22,116767.0
Hydro,HWA1101,2009-11-23,161695.0
Hydro,HWA1101,2009-11-24,117034.0
Hydro,HWA1101,2009-11-25,163318.0
Hydro,HWA1101,2009-11-26,59364.0
Hydro,HWA1101,2009-11-27,50020.0
Hydro,HWA1101,2009-11-28,183048.0
Hydro,HWA1101,2009-11-29,98045.0
Hydro,HWA1101,2009-11-30,322978.0
Hydro,KPO1101,2009-11-01,1930950.0
Hydro,KPO1101,2009-11-02,1617410.0
Hydro,KPO1101,2009-11-03,1947240.0
Hydro,KPO1101,2009-11-04,1922860.0
Hydro,KPO1101,2009-11-05,1711920.0
Hydro,KPO1101,2009-11-06,1616090.0
Hydro,KPO1101,2009-11-07,1177260.0
Hydro,KPO1101,2009-11-08,1415090.0
Hydro,KPO1101,2009-11-09,1696130.0
Hydro,KPO1101,2009-11-10,1691660.0
Hydro,KPO1101,2009-11-11,1884240.0
Hydro,KPO1101,2009-11-12,1658030.0
Hydro,KPO1101,2009-11-13,1336470.0
Hydro,KPO1101,2009-11-14,1545230.0
Hydro,KPO1101,2009-11-15,1244730.0
Hydro,KPO1101,2009-11-16,1481780.0
Hydro,KPO1101,2009-11-17,1510640.0
Hydro,KPO1101,2009-11-18,1903570.0
Hydro,KPO1101,2009-11-19,1523050.0
Hydro,KPO1101,2009-11-20,1334460.0
Hydro,KPO1101,2009-11-21,1297210.0
Hydro,KPO1101,2009-11-22,1201520.0
Hydro,KPO1101,2009-11-23,1424870.0
Hydro,KPO1101,2009-11-24,1386180.0
Hydro,KPO1101,2009-11-25,1210240.0
Hydro,KPO1101,2009-11-26,1150480.0
Hydro,KPO1101,2009-11-27,1114650.0
Hydro,KPO1101,2009-11-28,1440110.0
Hydro,KPO1101,2009-11-29,1123500.0
Hydro,KPO1101,2009-11-30,1742900.0
Hydro,MAN2201,2009-11-01,14691830.0
Hydro,MAN2201,2009-11-02,14769390.0
Hydro,MAN2201,2009-11-03,13804040.0
Hydro,MAN2201,2009-11-04,13532470.0
Hydro,MAN2201,2009-11-05,11814420.0
Hydro,MAN2201,2009-11-06,11776700.0
Hydro,MAN2201,2009-11-07,9978580.0
Hydro,MAN2201,2009-11-08,9978600.0
Hydro,MAN2201,2009-11-09,11279920.0
Hydro,MAN2201,2009-11-10,11119460.0
Hydro,MAN2201,2009-11-11,14313610.0
Hydro,MAN2201,2009-11-12,16166070.0
Hydro,MAN2201,2009-11-13,16316300.0
Hydro,MAN2201,2009-11-14,14955780.0
Hydro,MAN2201,2009-11-15,14589850.0
Hydro,MAN2201,2009-11-16,16452630.0
Hydro,MAN2201,2009-11-17,14792030.0
Hydro,MAN2201,2009-11-18,14038060.0
Hydro,MAN2201,2009-11-19,14165220.0
Hydro,MAN2201,2009-11-20,15506260.0
Hydro,MAN2201,2009-11-21,14982320.0
Hydro,MAN2201,2009-11-22,14980180.0
Hydro,MAN2201,2009-11-23,14803480.0
Hydro,MAN2201,2009-11-24,13767590.0
Hydro,MAN2201,2009-11-25,15275530.0
Hydro,MAN2201,2009-11-26,11847970.0
Hydro,MAN2201,2009-11-27,15779350.0
Hydro,MAN2201,2009-11-28,14989050.0
Hydro,MAN2201,2009-11-29,14931000.0
Hydro,MAN2201,2009-11-30,14769600.0
Hydro,MAT1101,2009-11-01,881833.99
Hydro,MAT1101,2009-11-02,1103338.63
Hydro,MAT1101,2009-11-03,1112760.02
Hydro,MAT1101,2009-11-04,964692.11
Hydro,MAT1101,2009-11-05,1000557.72
Hydro,MAT1101,2009-11-06,999737.53
Hydro,MAT1101,2009-11-07,821735.48
Hydro,MAT1101,2009-11-08,815119.1399999999
Hydro,MAT1101,2009-11-09,932943.24
Hydro,MAT1101,2009-11-10,1030147.6699999999
Hydro,MAT1101,2009-11-11,1101900.74
Hydro,MAT1101,2009-11-12,1112146.8199999998
Hydro,MAT1101,2009-11-13,989050.32
Hydro,MAT1101,2009-11-14,818262.72
Hydro,MAT1101,2009-11-15,792514.0700000001
Hydro,MAT1101,2009-11-16,826221.92
Hydro,MAT1101,2009-11-17,902922.95
Hydro,MAT1101,2009-11-18,846449.81
Hydro,MAT1101,2009-11-19,884385.86
Hydro,MAT1101,2009-11-20,843308.86
Hydro,MAT1101,2009-11-21,815794.43
Hydro,MAT1101,2009-11-22,807292.04
Hydro,MAT1101,2009-11-23,840545.1699999999
Hydro,MAT1101,2009-11-24,832353.35
Hydro,MAT1101,2009-11-25,817521.22
Hydro,MAT1101,2009-11-26,789654.19
Hydro,MAT1101,2009-11-27,812992.75
Hydro,MAT1101,2009-11-28,781115.1599999999
Hydro,MAT1101,2009-11-29,777977.85
Hydro,MAT1101,2009-11-30,779383.23
Hydro,MHO0331,2009-11-01,11780.0
Hydro,MHO0331,2009-11-02,452860.0
Hydro,MHO0331,2009-11-03,497520.0
Hydro,MHO0331,2009-11-04,590520.0
Hydro,MHO0331,2009-11-05,617980.0
Hydro,MHO0331,2009-11-06,600860.0
Hydro,MHO0331,2009-11-07,592360.0
Hydro,MHO0331,2009-11-08,501990.0
Hydro,MHO0331,2009-11-09,397280.0
Hydro,MHO0331,2009-11-10,154560.0
Hydro,MHO0331,2009-11-11,292740.0
Hydro,MHO0331,2009-11-12,374690.0
Hydro,MHO0331,2009-11-13,404230.0
Hydro,MHO0331,2009-11-14,62050.0
Hydro,MHO0331,2009-11-15,56970.0
Hydro,MHO0331,2009-11-16,369230.0
Hydro,MHO0331,2009-11-17,488070.0
Hydro,MHO0331,2009-11-18,649714.0
Hydro,MHO0331,2009-11-19,646965.0
Hydro,MHO0331,2009-11-20,629330.0
Hydro,MHO0331,2009-11-21,661385.0
Hydro,MHO0331,2009-11-22,676144.0
Hydro,MHO0331,2009-11-23,636061.0
Hydro,MHO0331,2009-11-24,630307.0
Hydro,MHO0331,2009-11-25,631732.0
Hydro,MHO0331,2009-11-26,631023.0
Hydro,MHO0331,2009-11-27,552340.0
Hydro,MHO0331,2009-11-28,653804.0
Hydro,MHO0331,2009-11-29,707706.0
Hydro,MHO0331,2009-11-30,671970.0
Hydro,MTI2201,2009-11-01,3290760.0
Hydro,MTI2201,2009-11-02,3198470.0
Hydro,MTI2201,2009-11-03,3651670.0
Hydro,MTI2201,2009-11-04,3697360.0
Hydro,MTI2201,2009-11-05,2838400.0
Hydro,MTI2201,2009-11-06,3211280.0
Hydro,MTI2201,2009-11-07,2154240.0
Hydro,MTI2201,2009-11-08,1650920.0
Hydro,MTI2201,2009-11-09,3691590.0
Hydro,MTI2201,2009-11-10,3194760.0
Hydro,MTI2201,2009-11-11,2975950.0
Hydro,MTI2201,2009-11-12,2987120.0
Hydro,MTI2201,2009-11-13,2770540.0
Hydro,MTI2201,2009-11-14,2404170.0
Hydro,MTI2201,2009-11-15,2101200.0
Hydro,MTI2201,2009-11-16,2826640.0
Hydro,MTI2201,2009-11-17,2890100.0
Hydro,MTI2201,2009-11-18,2721540.0
Hydro,MTI2201,2009-11-19,3044460.0
Hydro,MTI2201,2009-11-20,2702160.0
Hydro,MTI2201,2009-11-21,2034440.0
Hydro,MTI2201,2009-11-22,1956580.0
Hydro,MTI2201,2009-11-23,2169620.0
Hydro,MTI2201,2009-11-24,2460940.0
Hydro,MTI2201,2009-11-25,1953180.0
Hydro,MTI2201,2009-11-26,2075160.0
Hydro,MTI2201,2009-11-27,1933270.0
Hydro,MTI2201,2009-11-28,2506090.0
Hydro,MTI2201,2009-11-29,1578080.0
Hydro,MTI2201,2009-11-30,3291180.0
Hydro,NSY0331,2009-11-01,101766.51000000001
Hydro,NSY0331,2009-11-02,114639.51
Hydro,NSY0331,2009-11-03,118103.98999999999
Hydro,NSY0331,2009-11-04,110953.11
Hydro,NSY0331,2009-11-05,109533.04999999999
Hydro,NSY0331,2009-11-06,98232.14
Hydro,NSY0331,2009-11-07,95486.93
Hydro,NSY0331,2009-11-08,92088.61
Hydro,NSY0331,2009-11-09,91210.73000000001
Hydro,NSY0331,2009-11-10,90893.68
Hydro,NSY0331,2009-11-11,91142.17
Hydro,NSY0331,2009-11-12,90872.83
Hydro,NSY0331,2009-11-13,104280.45999999999
Hydro,NSY0331,2009-11-14,111502.39
Hydro,NSY0331,2009-11-15,111437.44
Hydro,NSY0331,2009-11-16,112290.39
Hydro,NSY0331,2009-11-17,111886.01999999999
Hydro,NSY0331,2009-11-18,112876.35
Hydro,NSY0331,2009-11-19,112697.34
Hydro,NSY0331,2009-11-20,109570.95999999999
Hydro,NSY0331,2009-11-21,74851.66
Hydro,NSY0331,2009-11-22,80343.01999999999
Hydro,NSY0331,2009-11-23,103540.88
