Fuel_Code,POC_Code,DATE,Total_TP,Island,Latitude,Longitude
Wind,BPE0331,2023-12-05,497039.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-06,232085.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-07,445598.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-08,86033.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-09,294831.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-10,614632.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-11,308755.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-12,190277.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-13,183545.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-14,601337.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-15,444411.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-16,520463.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-17,434230.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-18,126119.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-19,43211.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-20,425663.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-21,417852.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-22,106572.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-23,20732.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-24,89935.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-25,428897.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-26,220485.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-27,321951.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-28,217774.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-29,179174.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-30,504501.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2023-12-31,534282.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-01,313644.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-02,203895.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-03,7907.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-04,370018.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-05,291974.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-06,98166.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-07,35632.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-08,142548.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-09,448748.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-10,211326.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-11,388773.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-12,337138.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-13,309828.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-14,637034.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-15,269639.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-16,460515.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-17,57058.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-18,7156.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-19,77187.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-20,330868.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-21,27259.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-22,93990.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-23,561161.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-24,209800.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-25,212103.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-26,25431.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-27,474808.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-28,324195.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-29,319862.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-30,304534.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-01-31,118703.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-01,335886.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-02,606472.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-03,355049.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-04,370848.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-05,571793.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-06,605052.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-07,449765.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-08,312439.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-09,468407.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-10,421751.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-11,328954.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-12,109243.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-13,152935.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-14,371421.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-15,588519.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-16,204357.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-17,133724.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-18,490790.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-19,681859.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-20,356010.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-21,84542.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-22,53461.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-23,261814.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-24,692949.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-25,301908.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-26,60411.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-27,292748.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-28,170462.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-02-29,130346.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-01,213510.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-02,667327.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-03,674343.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-04,596106.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-05,666113.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-06,53833.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-07,476145.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-08,335099.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-09,439946.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-10,341532.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-11,610237.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-12,211519.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-13,442437.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-14,323156.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-15,563074.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-16,163312.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-17,541807.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-18,271006.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-19,104950.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-20,53455.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-21,21062.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-22,54298.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-23,10512.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-24,120319.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-25,715248.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-26,748283.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-27,569830.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-28,677974.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-29,42209.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-30,126012.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-03-31,19908.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-01,4570.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-02,20236.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-03,264262.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-04,500483.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-05,207280.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-06,73320.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-07,77864.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-08,27654.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-09,218123.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-10,214225.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-11,64125.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-12,76528.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-13,36070.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-14,6512.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2024-04-15,241294.0,NI,-40.280614262851415,175.6405101202204
