Fuel_Code,Trading_date,Total_TP
Wind,2016-02-04,3530778.5698
Wind,2016-02-05,2332028.3267
Wind,2016-02-06,6027843.3683
Wind,2016-02-07,6329153.973
Wind,2016-02-08,3161742.5254
Wind,2016-02-09,3567415.9561
Wind,2016-02-10,3583055.5225
Wind,2016-02-11,3882460.7508
Wind,2016-02-12,4204960.666
Wind,2016-02-13,409291.786
Wind,2016-02-14,1806542.4858
Wind,2016-02-15,3057754.892
Wind,2016-02-16,2753307.1423
Wind,2016-02-17,3770930.543
Wind,2016-02-18,5815658.7992
Wind,2016-02-19,8767686.57
Wind,2016-02-20,9073578.11
Wind,2016-02-21,4506669.9051
Wind,2016-02-22,1913569.8688
Wind,2016-02-23,5098382.1521
Wind,2016-02-24,7371056.37
Wind,2016-02-25,8021176.645
Wind,2016-02-26,7236987.067
Wind,2016-02-27,9221387.5626
Wind,2016-02-28,4599239.4354
Wind,2016-02-29,6379303.25
Wind,2016-03-01,6524358.848999999
Wind,2016-03-02,4479618.2588
Wind,2016-03-03,3641356.9867
Wind,2016-03-04,6812678.9498
Wind,2016-03-05,6467747.9112
Wind,2016-03-06,6234754.17
Wind,2016-03-07,6071818.625
Wind,2016-03-08,7992238.902
Wind,2016-03-09,2202792.0176
Wind,2016-03-10,9131670.385
Wind,2016-03-11,6097244.487600001
Wind,2016-03-12,2650162.4865
Wind,2016-03-13,2994055.1298
Wind,2016-03-14,3329311.6563
Wind,2016-03-15,5810450.2469
Wind,2016-03-16,6969557.7988
Wind,2016-03-17,5119814.510199999
Wind,2016-03-18,1756058.5373
Wind,2016-03-19,2322946.6846000003
Wind,2016-03-20,2310546.9837
Wind,2016-03-21,2267411.3377
Wind,2016-03-22,2264024.2872
Wind,2016-03-23,3728357.3232
Wind,2016-03-24,4345624.883
Wind,2016-03-25,5803757.034700001
Wind,2016-03-26,3754876.3405
Wind,2016-03-27,3919266.4744
Wind,2016-03-28,4444071.3002
Wind,2016-03-29,4487553.776000001
Wind,2016-03-30,2116142.291
Wind,2016-03-31,1143626.9161
Wind,2016-04-01,1677319.5719
Wind,2016-04-02,1553089.7318
Wind,2016-04-03,7953418.573
Wind,2016-04-04,5537415.022
Wind,2016-04-05,2908624.2503
Wind,2016-04-06,2362717.0700000003
Wind,2016-04-07,8404754.8518
