Fuel_Code,Trading_date,Total_TP
Wind,2015-03-20,0.0
Hydro,2015-03-20,0.0
Hydro,2015-03-21,0.0
Hydro,2015-03-21,47583109.95
Wind,2015-03-21,3481962.7674
Wind,2015-03-21,0.0
Hydro,2015-03-22,47922330.835
Hydro,2015-03-22,0.0
Wind,2015-03-22,0.0
Wind,2015-03-22,1617180.2452
Wind,2015-03-23,0.0
Hydro,2015-03-23,0.0
Hydro,2015-03-23,54530473.2826
Wind,2015-03-23,2245821.868
Hydro,2015-03-24,0.0
Wind,2015-03-24,0.0
Wind,2015-03-24,3190432.9856
Hydro,2015-03-24,52063278.865
Wind,2015-03-25,0.0
Hydro,2015-03-25,0.0
Hydro,2015-03-25,52111854.759
Wind,2015-03-25,4083315.659
Wind,2015-03-26,0.0
Hydro,2015-03-26,51792593.642
Wind,2015-03-26,2598976.3884
Hydro,2015-03-26,0.0
Hydro,2015-03-27,0.0
Wind,2015-03-27,2386830.1304
Wind,2015-03-27,0.0
Hydro,2015-03-27,53446880.9258
Wind,2015-03-28,1658698.1156
Hydro,2015-03-28,0.0
Hydro,2015-03-28,49894421.72
Wind,2015-03-28,0.0
Hydro,2015-03-29,0.0
Wind,2015-03-29,6262473.8188000005
Wind,2015-03-29,0.0
Hydro,2015-03-29,44113279.3614
Wind,2015-03-30,0.0
Hydro,2015-03-30,53178942.55
Wind,2015-03-30,4986742.664
Hydro,2015-03-30,0.0
Hydro,2015-03-31,0.0
Wind,2015-03-31,0.0
Wind,2015-03-31,3009613.2777
Hydro,2015-03-31,54551194.12
Hydro,2015-04-01,0.0
Wind,2015-04-01,1954109.2285
Wind,2015-04-01,0.0
Hydro,2015-04-01,51975699.35
Hydro,2015-04-02,0.0
Wind,2015-04-02,7744535.2887
Wind,2015-04-02,0.0
Hydro,2015-04-02,47085603.597
Wind,2015-04-03,0.0
Wind,2015-04-03,6236637.0877
Hydro,2015-04-03,39978225.237
Hydro,2015-04-03,0.0
Wind,2015-04-04,0.0
Hydro,2015-04-04,0.0
Wind,2015-04-04,8818002.876
Hydro,2015-04-04,38516216.8316
Hydro,2015-04-05,44693058.96
Wind,2015-04-05,0.0
Hydro,2015-04-05,0.0
Wind,2015-04-05,2216177.3487
Hydro,2015-04-06,43204099.6
Wind,2015-04-06,2948517.7592
Wind,2015-04-06,0.0
Hydro,2015-04-06,0.0
Wind,2015-04-07,7140370.642
Hydro,2015-04-07,0.0
Hydro,2015-04-07,47117975.54
Wind,2015-04-07,0.0
Wind,2015-04-08,5032869.8844
Wind,2015-04-08,0.0
Hydro,2015-04-08,0.0
Hydro,2015-04-08,51184216.77
Hydro,2015-04-09,53596354.465
Wind,2015-04-09,5246493.4543
Wind,2015-04-09,0.0
Hydro,2015-04-09,0.0
Hydro,2015-04-10,56832972.392
Wind,2015-04-10,0.0
Hydro,2015-04-10,0.0
Wind,2015-04-10,4292770.6979
Wind,2015-04-11,3954491.8942
Wind,2015-04-11,0.0
Hydro,2015-04-11,0.0
Hydro,2015-04-11,48462400.723
Wind,2015-04-12,9689254.9532
Hydro,2015-04-12,41494597.338
Wind,2015-04-12,0.0
Hydro,2015-04-12,0.0
Hydro,2015-04-13,53886482.78
Wind,2015-04-13,0.0
