DATE,Avg_PS
2015-12-01,101.1723
2015-12-02,100.9169
2015-12-03,100.3708
2015-12-04,100.1577
2015-12-05,99.6146
2015-12-06,99.68
2015-12-07,99.4808
2015-12-08,99.7115
2015-12-09,100.1254
2015-12-10,99.5677
2015-12-11,99.4815
2015-12-12,99.0569
2015-12-13,99.1662
2015-12-14,99.7862
2015-12-15,99.49
2015-12-16,99.2585
2015-12-17,99.4054
2015-12-18,99.4277
2015-12-19,99.7292
2015-12-20,100.1792
2015-12-21,99.9508
2015-12-22,99.7546
2015-12-23,100.1954
2015-12-24,100.0492
2015-12-25,100.1715
2015-12-26,100.6231
2015-12-27,100.6323
2015-12-28,99.9077
2015-12-29,99.0292
2015-12-30,99.1723
2015-12-31,100.4431
2016-01-01,100.6023
2016-01-02,99.8685
2016-01-03,99.2046
2016-01-04,100.4231
2016-01-05,100.7377
2016-01-06,100.7969
2016-01-07,100.2492
2016-01-08,98.5577
2016-01-09,98.86
2016-01-10,99.2946
2016-01-11,100.2485
2016-01-12,99.8638
2016-01-13,100.0177
2016-01-14,100.3992
2016-01-15,99.9277
2016-01-16,100.0931
2016-01-17,100.0654
2016-01-18,99.8631
2016-01-19,99.5746
2016-01-20,99.8969
2016-01-21,100.2192
2016-01-22,100.1131
2016-01-23,99.9262
2016-01-24,99.9208
2016-01-25,99.9623
2016-01-26,100.01
2016-01-27,100.04
2016-01-28,99.6469
2016-01-29,99.8762
2016-01-30,100.29
2016-01-31,100.5015
2016-02-01,100.3331
2016-02-02,100.2623
2016-02-03,100.2531
2016-02-04,99.88
2016-02-05,99.4546
2016-02-06,99.6115
2016-02-07,100.0546
2016-02-08,99.8531
2016-02-09,99.3754
2016-02-10,99.6915
2016-02-11,99.9538
2016-02-12,100.28
2016-02-13,100.4208
2016-02-14,100.3008
2016-02-15,100.2562
2016-02-16,99.9477
2016-02-17,99.1446
2016-02-18,98.7438
2016-02-19,99.2308
2016-02-20,99.9923
2016-02-21,100.4277
2016-02-22,100.7
2016-02-23,100.3615
2016-02-24,100.1454
2016-02-25,100.0892
2016-02-26,99.9969
2016-02-27,99.9531
2016-02-28,99.87
2016-02-29,99.8569
2016-03-01,100.57
2016-03-02,101.0054
2016-03-03,101.1423
2016-03-04,100.9346
2016-03-05,100.6538
2016-03-06,100.5285
2016-03-07,100.3169
2016-03-08,100.1431
2016-03-09,100.6985
2016-03-10,99.8954
2016-03-11,100.7623
2016-03-12,101.4377
2016-03-13,101.1769
2016-03-14,100.5415
2016-03-15,100.14
2016-03-16,100.59
2016-03-17,100.7185
2016-03-18,100.5708
2016-03-19,100.5654
2016-03-20,100.6454
2016-03-21,100.5731
2016-03-22,100.5038
2016-03-23,100.1562
2016-03-24,99.5177
2016-03-25,100.1123
2016-03-26,99.9769
2016-03-27,99.6254
2016-03-28,99.99
2016-03-29,100.2462
2016-03-30,100.7823
2016-03-31,100.8331
2016-04-01,100.5123
2016-04-02,100.0631
2016-04-03,99.7354
2016-04-04,100.0246
2016-04-05,100.4838
2016-04-06,100.5554
2016-04-07,99.96
2016-04-08,99.9292
2016-04-09,100.5515
2016-04-10,100.4262
2016-04-11,99.7854
2016-04-12,99.7854
2016-04-13,100.6285
2016-04-14,100.9908
2016-04-15,100.9631
2016-04-16,100.6231
2016-04-17,100.1138
2016-04-18,100.2208
2016-04-19,100.9238
2016-04-20,101.1308
2016-04-21,101.4246
2016-04-22,101.0346
2016-04-23,100.0138
2016-04-24,99.7662
2016-04-25,100.0838
2016-04-26,100.2477
2016-04-27,100.8438
2016-04-28,101.1231
2016-04-29,100.9023
2016-04-30,101.2931
2016-05-01,100.9931
2016-05-02,100.3385
2016-05-03,100.3508
2016-05-04,100.4015
2016-05-05,100.5362
2016-05-06,100.7877
2016-05-07,100.9731
2016-05-08,100.8631
2016-05-09,100.4508
2016-05-10,100.0592
2016-05-11,98.8592
2016-05-12,98.6646
2016-05-13,99.0338
2016-05-14,99.6462
2016-05-15,99.7323
2016-05-16,99.0162
2016-05-17,99.6777
2016-05-18,98.7462
2016-05-19,98.7738
2016-05-20,98.3615
2016-05-21,98.0192
2016-05-22,98.3362
2016-05-23,97.7892
2016-05-24,97.7377
2016-05-25,97.5485
2016-05-26,98.1362
2016-05-27,99.0008
2016-05-28,97.9777
2016-05-29,97.9985
2016-05-30,98.7792
2016-05-31,99.1854
2016-06-01,100.2823
2016-06-02,100.8369
2016-06-03,101.1892
2016-06-04,101.5508
2016-06-05,101.9354
2016-06-06,102.1631
2016-06-07,101.7346
2016-06-08,100.8515
2016-06-09,99.8723
2016-06-10,98.9031
2016-06-11,99.4346
2016-06-12,99.5462
2016-06-13,100.9646
2016-06-14,100.99
2016-06-15,100.2638
2016-06-16,100.4315
2016-06-17,100.5708
2016-06-18,100.4585
2016-06-19,100.7985
2016-06-20,100.9592
2016-06-21,100.4423
2016-06-22,99.3446
2016-06-23,98.2954
2016-06-24,99.1638
2016-06-25,99.09
2016-06-26,98.0338
2016-06-27,98.3708
2016-06-28,99.5785
2016-06-29,99.8015
2016-06-30,99.5592
2016-07-01,100.4431
2016-07-02,100.4292
2016-07-03,100.2369
2016-07-04,100.13
2016-07-05,100.4123
2016-07-06,100.5169
2016-07-07,100.45
2016-07-08,100.0915
2016-07-09,100.3985
2016-07-10,100.7169
2016-07-11,101.0862
2016-07-12,100.8654
2016-07-13,99.8569
2016-07-14,98.5585
2016-07-15,98.6054
2016-07-16,99.37
2016-07-17,99.1523
2016-07-18,99.4669
2016-07-19,98.6015
2016-07-20,98.8338
2016-07-21,99.9585
2016-07-22,99.9892
2016-07-23,98.2123
2016-07-24,97.3338
2016-07-25,98.8769
2016-07-26,99.3569
2016-07-27,99.4315
2016-07-28,98.3446
2016-07-29,98.3892
2016-07-30,98.5638
2016-07-31,98.6677
2016-08-01,98.7477
2016-08-02,99.1315
2016-08-03,98.8262
2016-08-04,98.9877
2016-08-05,98.8846
2016-08-06,99.34
2016-08-07,99.5954
2016-08-08,99.9808
2016-08-09,100.7985
2016-08-10,101.0569
2016-08-11,100.8038
2016-08-12,100.2792
2016-08-13,99.9469
2016-08-14,100.0354
2016-08-15,100.2631
2016-08-16,100.8631
2016-08-17,100.8385
2016-08-18,101.05
2016-08-19,101.3977
2016-08-20,101.25
2016-08-21,100.8692
2016-08-22,100.2977
2016-08-23,100.2823
2016-08-24,100.0823
2016-08-25,99.3562
2016-08-26,98.2562
2016-08-27,99.1746
2016-08-28,99.9692
2016-08-29,99.4454
2016-08-30,100.1692
2016-08-31,101.0685
2016-09-01,100.5
2016-09-02,99.9238
2016-09-03,100.0569
2016-09-04,99.6662
2016-09-05,99.0431
2016-09-06,100.1862
2016-09-07,99.5562
2016-09-08,100.31
2016-09-09,100.8838
2016-09-10,100.78
2016-09-11,100.6754
2016-09-12,100.5569
2016-09-13,100.6908
2016-09-14,100.5823
2016-09-15,100.57
2016-09-16,100.1008
2016-09-17,99.4838
2016-09-18,99.2454
2016-09-19,99.9108
2016-09-20,100.1238
2016-09-21,100.0669
2016-09-22,100.0562
2016-09-23,100.0077
2016-09-24,99.7931
2016-09-25,99.4685
2016-09-26,99.3654
2016-09-27,99.2446
2016-09-28,99.1062
2016-09-29,99.4931
2016-09-30,100.0469
2016-10-01,100.0369
2016-10-02,99.2654
2016-10-03,99.0108
2016-10-04,98.6854
2016-10-05,98.0508
2016-10-06,97.8662
2016-10-07,98.4585
2016-10-08,98.9777
2016-10-09,99.4708
2016-10-10,100.0146
2016-10-11,99.3677
2016-10-12,98.6954
2016-10-13,99.27
2016-10-14,99.0354
2016-10-15,99.21
2016-10-16,99.4854
2016-10-17,99.8792
2016-10-18,99.8346
2016-10-19,99.6723
2016-10-20,99.9469
2016-10-21,100.3585
2016-10-22,100.3492
2016-10-23,100.2546
2016-10-24,100.01
2016-10-25,99.4908
2016-10-26,99.3369
2016-10-27,99.71
2016-10-28,99.4431
2016-10-29,100.0777
